StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,RP1a,RP1a_9_TEXT,RP1b_1,RP1b_2,RP1b_3,RP1b_4,RP1b_5,RP1b_6,RP1b_7,RP1b_8,RP1c,RP1d,RP1e,Q2a,Q2a_7_TEXT,Q2b,Q2c_1,Q2c_2,Q2c_3,Q2c_4,Q2c_5,Q2c_6,Q2d,Q2e,Q3a,Q3b,Q3c,Q3c_11_TEXT,Q3d,Q3d_11_TEXT,Q3e,Q3e_9_TEXT,Q4a,Q4b,Q4c,Q4d,Q4e,Q5a,Q5b,Q5c,Q5d,Q5e
2025-04-11 20:48:09,2025-04-11 20:50:21,IP Address,107.77.224.47,100,131,True,2025-04-11 20:50:21,R_3GoBl6WU91i9FsG,,,,,40.8,-73.9763,anonymous,EN,Male,Yes,64,At least once a year,Between 10 and 30 minutes,Slightly Disagree,Slightly Agree,Slightly Disagree,Neither agree nor disagree,"Card games,Friendly staff,Easy to socialize with other customers",,,,,,,,,,"Not having someone to go with,Poor customer service",Joining a game,Easy to socialize with others,To meet new people,,Somewhat important – I like a balance of new and familiar elements,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,"Maybe, if the event aligns with my interests",respect,"Yes, I haven’t attended yet but I’m interested.",,Variety of performers,,,,,,Moderately Important,Everytime,Very Likely,"Warm-prepared Snacks (e.g., popcorn, soft pretzels)",Maybe,Yes,A little,Slightly interested,Somewhat dissatisfied,time
2025-04-11 20:44:03,2025-04-11 20:52:46,IP Address,12.74.53.117,100,523,True,2025-04-11 20:52:46,R_3rAb3Mx7M5TpAb6,,,,,42.2904,-71.0712,anonymous,EN,Female,Yes,24,At least once a month,Between 10 and 30 minutes,Slightly Agree,Slightly Agree,Neither agree nor disagree,Slightly Agree,"Pool table,Friendly staff,Easy to socialize with other customers,Easy to network with other professionals",,3,1,2,6,4,5,7,8,"Not having someone to go with,Poor customer service,No music,No food","Good music playing,Joining a game,Group activities to do with others present","Friendliness of staff,Easy to socialize with others,Live music,Happy hour specials",To socialize with friends/family,,Somewhat important – I like a balance of new and familiar elements,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Neither likely nor unlikely,Somewhat likely,"Maybe, if the event aligns with my interests","Social atmosphere ",Yes; I have attended before,Good,"Atmosphere and venue ambiance,Quality of live music performances,Convenience of location,Convenience of timing",,,,,,Slightly important,Sometimes,Neutral,"Warm-prepared Snacks (e.g., popcorn, soft pretzels)",Maybe,No,A moderate amount,Moderately interested,,Recommend personal drinks
2025-04-11 20:50:50,2025-04-11 20:58:04,IP Address,172.101.40.62,100,434,True,2025-04-11 20:58:05,R_5QWAUYM1ZfIGeYj,,,,,43.6327,-70.2735,anonymous,EN,Male,Yes,24,At least once a year,More than 30 minutes away,Slightly Disagree,Slightly Agree,Neither agree nor disagree,Slightly Agree,,,6,1,4,7,2,5,3,8,Not having someone to go with,"Being introduced by someone else,Good music playing","Easy to socialize with others,Live music",To relax and unwind,,Important – I prefer a familiar experience,Somewhat likely,Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Neither likely nor unlikely,"Maybe, if the event aligns with my interests",Lower Prices,"Yes, I haven’t attended yet but I’m interested.",,"Quality of live music performances,High quality of food,Convenience of location",,,,,,Very Important,Most of the time,Likely,"Pre-packaged Snacks (e.g., chips, nuts),Cold Bites (e.g., cheese, cured meats)",Maybe,No,A little,Slightly interested,,Discounts and Pricing to engage more people
2025-04-11 20:56:20,2025-04-11 21:01:19,IP Address,76.152.112.179,100,299,True,2025-04-11 21:01:19,R_6NyPAfTXL10SuzI,,,,,42.2743,-71.0972,anonymous,EN,Female,Yes,25,At least once a month,Between 10 and 30 minutes,Slightly Agree,Neither agree nor disagree,Slightly Agree,Slightly Agree,"Pool table,Card games,Karaoke available,Friendly staff,Loyalty program (e.g., personalized rewards, discounts, etc.)",,2,1,3,5,7,6,4,8,Difficult to talk to others in the taproom,"Good music playing,Joining a game,Playing competitive trivia","Friendliness of staff,Games available,Live music",To socialize with friends/family,,Somewhat important – I like a balance of new and familiar elements,Somewhat likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,Somewhat likely,Neither likely nor unlikely,"Yes, I value community-focused experiences",,Yes; I have attended before,Excellent,"Atmosphere and venue ambiance,Quality of live music performances,Variety of performers,High quality of drinks,High quality of food",,,,,,Extremely Important,Most of the time,Neutral,"Warm-prepared Snacks (e.g., popcorn, soft pretzels)",Yes,Yes,A moderate amount,Slightly interested,Very satisfied,
2025-04-11 21:20:48,2025-04-11 21:26:27,IP Address,71.235.123.242,100,339,True,2025-04-11 21:26:28,R_1f7GnyeuFD7jQBk,,,,,42.3399,-71.1245,anonymous,EN,Male,Yes,25,At least once a year,Less than 10 minutes away,Slightly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,"Pool table,Card games,Darts,Friendly staff,Easy to socialize with other customers,Loyalty program (e.g., personalized rewards, discounts, etc.),Easy to network with other professionals",,3,4,7,8,5,1,2,6,"Difficult to talk to others in the taproom,No rewards program","Being introduced by someone else,Good music playing,Joining a game,Playing competitive trivia,Friendliness of staff,Group activities to do with others present","Friendliness of staff,Games available,Easy to socialize with others,Variety of food options,Outdoor seating,Live music,Happy hour specials,Large TV screens for sports games","To attend special events (e.g., festivals, themed nights)",,Somewhat important – I like a balance of new and familiar elements,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,"Yes, I value community-focused experiences",Games and interaction,Yes; I have attended before,Excellent,"Atmosphere and venue ambiance,Quality of live music performances,Variety of performers,High quality of drinks,High quality of food,Social experience and opportunity to meet new people,Special promotions or discounts during the event,Convenience of location,Convenience of timing,Being a fan of the band or specific artists performing",,,,,,Very Important,Everytime,Likely,"Warm-prepared Snacks (e.g., popcorn, soft pretzels),Sweets (e.g., candies, cookies, chocolate)",Yes,Yes,A great deal,Very interested,Very satisfied,
2025-04-11 20:35:15,2025-04-11 21:32:00,IP Address,75.67.246.241,100,3405,True,2025-04-11 21:32:00,R_3p0gvIkklKqvzE9,,,,,42.2783,-71.1593,anonymous,EN,Female,Yes,24,At least once a year,Between 10 and 30 minutes,Neither agree nor disagree,Slightly Disagree,Neither agree nor disagree,Strongly Agree,"Pool table,Karaoke available,Friendly staff",,4,3,1,5,8,2,7,6,"Not having someone to go with,Poor customer service,No music","Good music playing,Joining a game,Playing competitive trivia,Group activities to do with others present","Friendliness of staff,Games available,Variety of food options,Live music,Happy hour specials",To socialize with friends/family,,Somewhat important – I like a balance of new and familiar elements,Somewhat likely,Somewhat unlikely,Neither likely nor unlikely,Somewhat likely,Extremely likely,Extremely likely,"Maybe, if the event aligns with my interests",,"Yes, I haven’t attended yet but I’m interested.",,"Quality of live music performances,Special promotions or discounts during the event,Convenience of location,Convenience of timing,Being a fan of the band or specific artists performing",,,,,,Moderately Important,Most of the time,Likely,"Warm-prepared Snacks (e.g., popcorn, soft pretzels)",Yes,Yes,A lot,Moderately interested,Somewhat satisfied,
2025-04-11 21:32:02,2025-04-11 21:32:50,IP Address,24.61.127.94,100,47,True,2025-04-11 21:32:50,R_3mkLHEd3KxDfb5z,,,,,42.2904,-71.0712,anonymous,EN,Male,Yes,25,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-11 21:35:10,2025-04-11 21:35:32,IP Address,73.167.221.172,100,22,True,2025-04-11 21:35:33,R_3pyADw19VvmE3Fg,,,,,42.2904,-71.0712,anonymous,EN,Female,Yes,24,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-11 21:46:19,2025-04-11 21:46:39,IP Address,155.33.133.0,100,20,True,2025-04-11 21:46:40,R_7ahQoq1tdaXhBao,,,,,42.3253,-71.0951,anonymous,EN,Female,Yes,36,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-11 21:41:12,2025-04-11 21:47:22,IP Address,71.234.8.66,100,369,True,2025-04-11 21:47:23,R_5jYQaLL0OozFvYB,,,,,42.0774,-71.0446,anonymous,EN,Male,Yes,23,At least once a year,Between 10 and 30 minutes,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Slightly Agree,"Friendly staff,Easy to socialize with other customers,Loyalty program (e.g., personalized rewards, discounts, etc.),Easy to network with other professionals",,8,7,2,3,5,4,6,1,"Not having someone to go with,Difficult to talk to others in the taproom,No music,No food","Being introduced by someone else,Good music playing,Joining a game,Playing competitive trivia,Friendliness of staff,Group activities to do with others present","Friendliness of staff,Games available,Easy to socialize with others,Variety of food options,Outdoor seating,Live music,Large TV screens for sports games",To meet new people,,Somewhat important – I like a balance of new and familiar elements,Neither likely nor unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Neither likely nor unlikely,"Yes, I value community-focused experiences",reward program,Yes; I have attended before,Excellent,"Atmosphere and venue ambiance,Quality of live music performances,Variety of performers,High quality of food,Social experience and opportunity to meet new people,Convenience of location",,,,,,Extremely Important,Everytime,Very Likely,"Pre-packaged Snacks (e.g., chips, nuts),Warm-prepared Snacks (e.g., popcorn, soft pretzels),Sweets (e.g., candies, cookies, chocolate)",No,No,A moderate amount,Very interested,,"less waiting time and talking for booking a table "
2025-04-11 22:03:14,2025-04-11 22:08:09,IP Address,24.61.58.250,100,294,True,2025-04-11 22:08:09,R_5us4NsJhBEdF1XG,,,,,42.2904,-71.0712,anonymous,EN,Male,Yes,23,At least once a year,More than 30 minutes away,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,"Pool table,Card games,Karaoke available,Darts,Friendly staff,Easy to socialize with other customers",,4,1,2,7,6,3,5,8,"Not having someone to go with,Difficult to talk to others in the taproom","Being introduced by someone else,Joining a game,Playing competitive trivia,Friendliness of staff,Group activities to do with others present","Friendliness of staff,Games available,Easy to socialize with others,Variety of food options,Outdoor seating,Live music,Happy hour specials,Large TV screens for sports games",To relax and unwind,,Important – I prefer a familiar experience,Extremely likely,Somewhat likely,Extremely unlikely,Somewhat likely,Extremely likely,Somewhat likely,"Maybe, if the event aligns with my interests",,"Yes, I haven’t attended yet but I’m interested.",,"Atmosphere and venue ambiance,Quality of live music performances,Variety of performers,High quality of drinks,Special promotions or discounts during the event,Convenience of location,Convenience of timing",,,,,,Extremely Important,Everytime,Very Likely,"Pre-packaged Snacks (e.g., chips, nuts),Warm-prepared Snacks (e.g., popcorn, soft pretzels)",Yes,Yes,A moderate amount,Moderately interested,Neutral,
2025-04-11 22:24:29,2025-04-11 22:35:49,IP Address,24.63.80.68,100,679,True,2025-04-11 22:35:49,R_7ptcsmtKGiBDYmj,,,,,42.2904,-71.0712,anonymous,EN,Female,Yes,25,At least once a month,Less than 10 minutes away,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,"Pool table,Card games,Karaoke available,Friendly staff,Easy to network with other professionals",,4,1,3,7,5,2,8,6,"Poor customer service,No music","Being introduced by someone else,Good music playing,Joining a game,Playing competitive trivia,Friendliness of staff,Group activities to do with others present","Friendliness of staff,Games available,Easy to socialize with others,Variety of food options,Outdoor seating,Live music,Happy hour specials",To relax and unwind,,Somewhat important – I like a balance of new and familiar elements,Somewhat likely,Extremely likely,Neither likely nor unlikely,Somewhat likely,Extremely likely,Extremely likely,"Maybe, if the event aligns with my interests",Very good service,"Yes, I haven’t attended yet but I’m interested.",,"Atmosphere and venue ambiance,Variety of performers,High quality of drinks,High quality of food,Social experience and opportunity to meet new people,Special promotions or discounts during the event,Convenience of location,Convenience of timing",,,,,,Extremely Important,Most of the time,Very Likely,"Warm-prepared Snacks (e.g., popcorn, soft pretzels)",Yes,No,A moderate amount,Extremely interested,,
2025-04-11 23:11:15,2025-04-11 23:12:31,IP Address,24.60.196.192,100,76,True,2025-04-11 23:12:32,R_1iU4kB49suWubd6,,,,,42.3399,-71.1245,anonymous,EN,Male,Yes,25,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-11 23:55:23,2025-04-12 00:17:37,IP Address,73.159.96.24,100,1334,True,2025-04-12 00:17:38,R_3hW5hiFcAsA2Scx,,,,,42.2463,-70.9972,anonymous,EN,Female,Yes,24,At least once a year,More than 30 minutes away,Slightly Agree,Neither agree nor disagree,Strongly Agree,Slightly Agree,Other,"Not too noisy, dimly lit, and with a great view",2,3,1,6,4,5,7,8,Not having someone to go with,Joining a game,Live music,To socialize with friends/family,,Somewhat important – I like a balance of new and familiar elements,Somewhat likely,Neither likely nor unlikely,Somewhat unlikely,Neither likely nor unlikely,Extremely likely,Extremely likely,"Maybe, if the event aligns with my interests","The vibe was great, and all my friends loved it too","Yes, I haven’t attended yet but I’m interested.",,"Atmosphere and venue ambiance,Quality of live music performances,Special promotions or discounts during the event,Convenience of location,Convenience of timing",,,,,,Moderately Important,Everytime,Neutral,"Cold Bites (e.g., cheese, cured meats)",Yes,No,A little,Moderately interested,,"Show detailed tasting notes, ingredients, ABV, and even staff favorites"
2025-04-12 01:17:10,2025-04-12 01:28:17,IP Address,122.116.1.215,100,666,True,2025-04-12 01:28:18,R_38C0dQJ2m4xbuwX,,,,,24.9604,121.2392,anonymous,EN,Female,Yes,23,At least once a year,More than 30 minutes away,Slightly Agree,Strongly Disagree,Strongly Disagree,Slightly Agree,"Card games,Karaoke available,Darts,Easy to socialize with other customers",,6,2,3,5,4,1,8,7,"Difficult to talk to others in the taproom,Poor customer service,No music","Being introduced by someone else,Good music playing,Joining a game,Playing competitive trivia,Friendliness of staff,Group activities to do with others present","Friendliness of staff,Games available,Easy to socialize with others,Live music",To try new and unique craft beers,,Not important – I prefer a unique experience each time,Neither likely nor unlikely,Neither likely nor unlikely,Extremely unlikely,Neither likely nor unlikely,Somewhat likely,Somewhat likely,"Maybe, if the event aligns with my interests","Location ","Yes, I haven’t attended yet but I’m interested.",,"Atmosphere and venue ambiance,Quality of live music performances,Social experience and opportunity to meet new people",,,,,,Moderately Important,Rarely,Unlikely,"Pre-packaged Snacks (e.g., chips, nuts)",Maybe,Yes,A little,Very interested,Neutral,品牌打造
2025-04-12 10:18:03,2025-04-12 10:19:25,IP Address,12.74.53.32,100,81,True,2025-04-12 10:19:25,R_38YSWehFKBAs5V5,,,,,42.2904,-71.0712,anonymous,EN,Male,Yes,25,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-12 10:40:05,2025-04-12 10:45:10,IP Address,73.249.113.147,100,304,True,2025-04-12 10:45:10,R_3hDPUIhfF7p6eKZ,,,,,42.3399,-71.1245,anonymous,EN,Male,Yes,25,At least once a year,Between 10 and 30 minutes,Strongly Agree,Strongly Agree,Slightly Disagree,Strongly Agree,"Pool table,Friendly staff,Easy to socialize with other customers",,8,6,7,4,5,2,3,1,"Difficult to talk to others in the taproom,Poor customer service,No rewards program,No music,No food","Good music playing,Joining a game,Friendliness of staff,Group activities to do with others present","Friendliness of staff,Games available,Variety of food options,Outdoor seating,Live music,Happy hour specials,Large TV screens for sports games",To socialize with friends/family,,Important – I prefer a familiar experience,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,"Yes, I value community-focused experiences",,Yes; I have attended before,Excellent,"Atmosphere and venue ambiance,Quality of live music performances,Variety of performers,High quality of drinks,High quality of food,Convenience of location,Convenience of timing",,,,,,Extremely Important,Most of the time,Very Likely,"Pre-packaged Snacks (e.g., chips, nuts)",Yes,Yes,A little,Very interested,Very satisfied,
